French,English
affaire,case
aide,help
aimerais,would like to
arrivé,come
arrêter,Stop
attendez,Wait
attention,Warning
aucun,no
aucune,any
aujourd'hui,today
aura,will have
belle,beautiful
boulot,job
bureau,office
bébé,baby
car,because
cause,cause
chambre,bedroom
chaque,each
chercher,search
chérie,sweetheart
compris,understood
compte,account
corps,body
croire,believe
côté,side
demande,request
demandé,request
devant,in front of
devrait,should
dirait,would say
donne,given
donner,give
donné,given
dont,whose
droit,law
eau,water
endroit,place
enfant,child
enfin,finally
espère,hope
eux,them
façon,way
filles,girls
fin,end
frère,brother
genre,kind
gros,large
heures,hours
histoire,history
jouer,to play
laisse,leash
laisser,let
leurs,their
loin,far
longtemps,long time
main,hand
mari,husband
matin,morning
mettre,to put
minutes,minutes
mis,placed
mois,month
nouvelle,new
pardon,sorry
parle,speak
parlé,speak
parti,left
partie,part
pendant,while
pensais,thought
perdu,lost
place,square
plutôt,rather
point,point
police,police
pourrais,could
pouvoir,power
premier,first
première,first
revoir,meet again
savais,knew
seulement,only
sois,be
suite,after
tellement,so much
terre,Earth
tiens,here
train,train
trouve,find
type,type
venez,come
venu,came
vers,towards
vieux,old
ville,city
voici,here is
vont,will
yeux,eyes
écoute,listen
étaient,were